,Filename,attractive,repeat
80,177185_-0.21969696969696972.png,-0.21969696969696972,1
40,105621_0.5833333333333335.png,0.5833333333333335,0
82,062275_0.6287878787878789.png,0.6287878787878789,1
58,175064_0.7196969696969697.png,0.7196969696969697,0
56,087309_-0.6439393939393939.png,-0.6439393939393939,0
21,016561_-0.12878787878787878.png,-0.12878787878787878,0
7,108843_-0.3712121212121212.png,-0.3712121212121212,0
64,195190_-0.14393939393939392.png,-0.14393939393939392,0
5,181560_-0.3409090909090909.png,-0.3409090909090909,0
78,080519_0.31060606060606055.png,0.31060606060606055,0
91,134541_-0.1742424242424242.png,-0.1742424242424242,1
75,185401_-0.4621212121212121.png,-0.4621212121212121,0
69,062697_0.3560606060606062.png,0.3560606060606062,0
19,020547_-0.6590909090909091.png,-0.6590909090909091,0
6,136712_-0.2803030303030303.png,-0.2803030303030303,0
68,097202_0.09848484848484851.png,0.09848484848484851,0
27,081654_0.20454545454545459.png,0.20454545454545459,0
99,006487_0.6590909090909092.png,0.6590909090909092,1
1,032881_0.18939393939393945.png,0.18939393939393945,0
81,010879_-0.6287878787878788.png,-0.6287878787878788,1
3,010879_-0.6287878787878788.png,-0.6287878787878788,0
37,006146_0.12878787878787878.png,0.12878787878787878,0
33,044261_-0.15909090909090906.png,-0.15909090909090906,0
9,109193_0.7348484848484849.png,0.7348484848484849,0
32,077003_0.643939393939394.png,0.643939393939394,0
72,074250_-0.08333333333333326.png,-0.08333333333333326,0
76,005032_0.46212121212121215.png,0.46212121212121215,0
88,067107_0.3257575757575757.png,0.3257575757575757,1
84,077438_-0.26515151515151514.png,-0.26515151515151514,1
17,188228_-0.6136363636363636.png,-0.6136363636363636,0
47,134541_-0.1742424242424242.png,-0.1742424242424242,0
83,081654_0.20454545454545459.png,0.20454545454545459,1
14,191981_-0.3106060606060606.png,-0.3106060606060606,0
70,124810_-0.44696969696969696.png,-0.44696969696969696,0
25,058811_0.5681818181818181.png,0.5681818181818181,0
57,076120_0.5075757575757576.png,0.5075757575757576,0
87,017801_-0.037878787878787845.png,-0.037878787878787845,1
24,176041_-0.7045454545454546.png,-0.7045454545454546,0
29,090214_-0.41666666666666663.png,-0.41666666666666663,0
43,000907_0.3712121212121213.png,0.3712121212121213,0
86,189047_0.21969696969696972.png,0.21969696969696972,1
35,195628_-0.4318181818181818.png,-0.4318181818181818,0
36,027615_0.053030303030303094.png,0.053030303030303094,0
66,045515_0.007575757575757569.png,0.007575757575757569,0
55,139618_-0.4772727272727273.png,-0.4772727272727273,0
49,164388_0.5378787878787878.png,0.5378787878787878,0
44,107163_-0.6893939393939394.png,-0.6893939393939394,0
95,131605_-0.6742424242424242.png,-0.6742424242424242,1
74,189127_-0.75.png,-0.75,0
60,040377_0.6742424242424243.png,0.6742424242424243,0
52,077438_-0.26515151515151514.png,-0.26515151515151514,0
54,177185_-0.21969696969696972.png,-0.21969696969696972,0
28,135232_0.26515151515151514.png,0.26515151515151514,0
39,166828_-0.7348484848484849.png,-0.7348484848484849,0
34,071433_0.4318181818181819.png,0.4318181818181819,0
23,057882_0.23484848484848486.png,0.23484848484848486,0
42,041492_0.11363636363636365.png,0.11363636363636365,0
11,062275_0.6287878787878789.png,0.6287878787878789,0
46,014683_0.41666666666666674.png,0.41666666666666674,0
92,018930_-0.38636363636363635.png,-0.38636363636363635,1
48,018930_-0.38636363636363635.png,-0.38636363636363635,0
96,005032_0.46212121212121215.png,0.46212121212121215,1
15,190277_0.5984848484848486.png,0.5984848484848486,0
65,142363_0.6136363636363638.png,0.6136363636363638,0
45,141447_0.15909090909090917.png,0.15909090909090917,0
89,141447_0.15909090909090917.png,0.15909090909090917,1
71,200766_-0.25.png,-0.25,0
41,189047_0.21969696969696972.png,0.21969696969696972,0
8,129472_-0.553030303030303.png,-0.553030303030303,0
13,017801_-0.037878787878787845.png,-0.037878787878787845,0
98,000879_0.553030303030303.png,0.553030303030303,1
10,067107_0.3257575757575757.png,0.3257575757575757,0
85,041147_0.446969696969697.png,0.446969696969697,1
26,000570_0.34090909090909083.png,0.34090909090909083,0
93,016561_-0.12878787878787878.png,-0.12878787878787878,1
18,111223_-0.23484848484848486.png,-0.23484848484848486,0
12,131605_-0.6742424242424242.png,-0.6742424242424242,0
97,181560_-0.3409090909090909.png,-0.3409090909090909,1
4,182210_-0.49242424242424243.png,-0.49242424242424243,0
79,042970_0.75.png,0.75,0
0,000879_0.553030303030303.png,0.553030303030303,0
90,045041_0.14393939393939392.png,0.14393939393939392,1
62,177627_-0.32575757575757575.png,-0.32575757575757575,0
53,137488_0.25.png,0.25,0
77,028460_-0.5075757575757576.png,-0.5075757575757576,0
16,006487_0.6590909090909092.png,0.6590909090909092,0
50,153367_0.037878787878787845.png,0.037878787878787845,0
73,166562_0.4772727272727273.png,0.4772727272727273,0
61,142408_-0.022727272727272707.png,-0.022727272727272707,0
2,045041_0.14393939393939392.png,0.14393939393939392,0
51,115608_0.08333333333333337.png,0.08333333333333337,0
63,156683_-0.18939393939393934.png,-0.18939393939393934,0
22,101289_0.49242424242424243.png,0.49242424242424243,0
67,067945_0.1742424242424243.png,0.1742424242424243,0
31,182833_-0.007575757575757569.png,-0.007575757575757569,0
30,042076_-0.7196969696969697.png,-0.7196969696969697,0
20,114266_0.5227272727272727.png,0.5227272727272727,0
38,156472_-0.5984848484848485.png,-0.5984848484848485,0
94,077003_0.643939393939394.png,0.643939393939394,1
59,041147_0.446969696969697.png,0.446969696969697,0
