im1_name,im2_name,low_first,repeat,task_type
/static/images/modifae_pairwise/trustworthy/136231_-0.75.png,/static/images/modifae_pairwise/trustworthy/136231_0.75.png,1,0,modifae
/static/images/modifae_pairwise/trustworthy/136254_0.75.png,/static/images/modifae_pairwise/trustworthy/136254_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/trustworthy/136257_0.75.png,/static/images/modifae_pairwise/trustworthy/136257_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/trustworthy/136196_-0.75.png,/static/images/modifae_pairwise/trustworthy/136196_0.75.png,1,0,modifae
/static/images/modifae_pairwise/trustworthy/136196_0.75.png,/static/images/modifae_pairwise/trustworthy/136196_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/trustworthy/136228_-0.75.png,/static/images/modifae_pairwise/trustworthy/136228_0.75.png,1,0,modifae
/static/images/modifae_pairwise/trustworthy/136181_-0.75.png,/static/images/modifae_pairwise/trustworthy/136181_0.75.png,1,0,modifae
/static/images/modifae_pairwise/trustworthy/136195_0.75.png,/static/images/modifae_pairwise/trustworthy/136195_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/trustworthy/136206_-0.75.png,/static/images/modifae_pairwise/trustworthy/136206_0.75.png,1,0,modifae
/static/images/modifae_pairwise/trustworthy/136255_-0.75.png,/static/images/modifae_pairwise/trustworthy/136255_0.75.png,1,0,modifae
/static/images/modifae_pairwise/trustworthy/136264_0.75.png,/static/images/modifae_pairwise/trustworthy/136264_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/trustworthy/136213_-0.75.png,/static/images/modifae_pairwise/trustworthy/136213_0.75.png,1,0,modifae
/static/images/modifae_pairwise/trustworthy/136243_-0.75.png,/static/images/modifae_pairwise/trustworthy/136243_0.75.png,1,1,modifae
/static/images/modifae_pairwise/trustworthy/136234_-0.75.png,/static/images/modifae_pairwise/trustworthy/136234_0.75.png,1,0,modifae
/static/images/modifae_pairwise/trustworthy/136260_0.75.png,/static/images/modifae_pairwise/trustworthy/136260_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/trustworthy/136248_-0.75.png,/static/images/modifae_pairwise/trustworthy/136248_0.75.png,1,0,modifae
/static/images/modifae_pairwise/trustworthy/136262_0.75.png,/static/images/modifae_pairwise/trustworthy/136262_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/trustworthy/136263_0.75.png,/static/images/modifae_pairwise/trustworthy/136263_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/trustworthy/136204_-0.75.png,/static/images/modifae_pairwise/trustworthy/136204_0.75.png,1,0,modifae
/static/images/gt_pairwise/trustworthy-low-9.png,/static/images/gt_pairwise/trustworthy-high-9.png,1,0,gt
/static/images/modifae_pairwise/trustworthy/136264_-0.75.png,/static/images/modifae_pairwise/trustworthy/136264_0.75.png,1,0,modifae
/static/images/modifae_pairwise/trustworthy/136253_-0.75.png,/static/images/modifae_pairwise/trustworthy/136253_0.75.png,1,0,modifae
/static/images/modifae_pairwise/trustworthy/136270_0.75.png,/static/images/modifae_pairwise/trustworthy/136270_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/trustworthy/136206_0.75.png,/static/images/modifae_pairwise/trustworthy/136206_-0.75.png,0,0,gt
