im1_name,im2_name,low_first,repeat,task_type
/static/images/modifae_pairwise/intelligent/136208_-0.75.png,/static/images/modifae_pairwise/intelligent/136208_0.75.png,1,1,modifae
/static/images/modifae_pairwise/intelligent/136256_0.75.png,/static/images/modifae_pairwise/intelligent/136256_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136196_0.75.png,/static/images/modifae_pairwise/intelligent/136196_-0.75.png,0,0,gt
/static/images/modifae_pairwise/intelligent/136197_0.75.png,/static/images/modifae_pairwise/intelligent/136197_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136217_0.75.png,/static/images/modifae_pairwise/intelligent/136217_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136252_-0.75.png,/static/images/modifae_pairwise/intelligent/136252_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136192_0.75.png,/static/images/modifae_pairwise/intelligent/136192_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136193_0.75.png,/static/images/modifae_pairwise/intelligent/136193_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136264_0.75.png,/static/images/modifae_pairwise/intelligent/136264_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136265_0.75.png,/static/images/modifae_pairwise/intelligent/136265_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136188_-0.75.png,/static/images/modifae_pairwise/intelligent/136188_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136201_-0.75.png,/static/images/modifae_pairwise/intelligent/136201_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136260_0.75.png,/static/images/modifae_pairwise/intelligent/136260_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136259_-0.75.png,/static/images/modifae_pairwise/intelligent/136259_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136262_0.75.png,/static/images/modifae_pairwise/intelligent/136262_-0.75.png,0,0,gt
/static/images/modifae_pairwise/intelligent/136263_0.75.png,/static/images/modifae_pairwise/intelligent/136263_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136251_-0.75.png,/static/images/modifae_pairwise/intelligent/136251_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136268_0.75.png,/static/images/modifae_pairwise/intelligent/136268_-0.75.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136269_0.75.png,/static/images/modifae_pairwise/intelligent/136269_-0.75.png,0,0,modifae
