im1_name,im2_name,low_first,repeat,task_type
/static/images/modifae_pairwise/intelligent/136256_0.75.png,/static/images/modifae_pairwise/intelligent/136256_0.0.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136196_0.75.png,/static/images/modifae_pairwise/intelligent/136196_0.0.png,0,0,gt
/static/images/modifae_pairwise/intelligent/136260_0.0.png,/static/images/modifae_pairwise/intelligent/136260_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136217_0.75.png,/static/images/modifae_pairwise/intelligent/136217_0.0.png,0,0,gt
/static/images/modifae_pairwise/intelligent/136195_0.75.png,/static/images/modifae_pairwise/intelligent/136195_0.0.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136192_0.75.png,/static/images/modifae_pairwise/intelligent/136192_0.0.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136192_0.0.png,/static/images/modifae_pairwise/intelligent/136192_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136264_0.75.png,/static/images/modifae_pairwise/intelligent/136264_0.0.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136255_0.0.png,/static/images/modifae_pairwise/intelligent/136255_0.75.png,1,0,modifae
/static/images/modifae_pairwise/intelligent/136266_0.75.png,/static/images/modifae_pairwise/intelligent/136266_0.0.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136267_0.75.png,/static/images/modifae_pairwise/intelligent/136267_0.0.png,0,0,modifae
/static/images/gt_pairwise/intelligent-mid-2.png,/static/images/gt_pairwise/intelligent-high-2.png,1,0,gt
/static/images/modifae_pairwise/intelligent/136213_0.75.png,/static/images/modifae_pairwise/intelligent/136213_0.0.png,0,0,modifae
/static/images/gt_pairwise/intelligent-mid-7.png,/static/images/gt_pairwise/intelligent-high-7.png,1,0,gt
/static/images/modifae_pairwise/intelligent/136263_0.75.png,/static/images/modifae_pairwise/intelligent/136263_0.0.png,0,0,modifae
/static/images/modifae_pairwise/intelligent/136212_0.75.png,/static/images/modifae_pairwise/intelligent/136212_0.0.png,0,1,modifae
