,subId,rt,imgName,isRepeat,rating,trial_index,debug_mode
34,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2150,/static/images/2kfaces/Google_1_Eva Kirkman_15_oval.jpg,0,4,43,live
35,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2286,/static/images/2kfaces/Google_1_Timothy Galvan_11_oval.jpg,0,5,44,live
36,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2742,/static/images/2kfaces/Google_1_Bryan Brunner_3_oval.jpg,0,5,45,live
37,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2518,/static/images/2kfaces/Google_1_Matthew Vanbuskirk_1_oval.jpg,0,5,46,live
38,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2527,/static/images/2kfaces/Google_1_Ernest Crump_3_oval.jpg,0,6,47,live
39,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2143,/static/images/2kfaces/Google_1_Louis Mceachern_7_oval.jpg,0,4,48,live
40,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3756,/static/images/2kfaces/Google_1_Kathleen Sartain_1_oval.jpg,0,6,50,live
41,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3198,/static/images/2kfaces/Google_1_Andrew Diggs_9_oval.jpg,0,4,51,live
42,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2372,/static/images/2kfaces/Google_1_Kenneth Cabral_19_oval.jpg,0,5,52,live
43,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2406,/static/images/2kfaces/Google_1_Tina Middleton_7_oval.jpg,0,5,53,live
44,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2695,/static/images/2kfaces/Google_1_Erika Fletcher_1_oval.jpg,0,7,54,live
45,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2157,/static/images/2kfaces/Google_1_Douglas Tanguay_9_oval.jpg,0,5,55,live
46,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,2837,/static/images/2kfaces/Google_1_Cheryl Griffin_15_oval.jpg,0,8,56,live
47,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,3390,/static/images/2kfaces/Google_1_Paul Reno_1_oval.jpg,0,4,57,live
