,Filename,aggressive,repeat
57,136177_-0.6287878787878788.png,-0.6287878787878788,0
39,136266_0.7196969696969697.png,0.7196969696969697,0
24,136248_0.446969696969697.png,0.446969696969697,0
38,136245_0.4015151515151516.png,0.4015151515151516,0
37,136193_-0.38636363636363635.png,-0.38636363636363635,0
48,136209_-0.14393939393939392.png,-0.14393939393939392,0
7,136263_0.6742424242424243.png,0.6742424242424243,0
1,136218_-0.007575757575757569.png,-0.007575757575757569,0
17,136249_0.46212121212121215.png,0.46212121212121215,0
23,136200_-0.2803030303030303.png,-0.2803030303030303,0
88,136180_-0.5833333333333333.png,-0.5833333333333333,1
81,136253_0.5227272727272727.png,0.5227272727272727,1
40,136217_-0.022727272727272707.png,-0.022727272727272707,0
2,136205_-0.20454545454545459.png,-0.20454545454545459,0
55,136250_0.4772727272727273.png,0.4772727272727273,0
45,136268_0.75.png,0.75,0
42,136255_0.553030303030303.png,0.553030303030303,0
36,136212_-0.09848484848484851.png,-0.09848484848484851,0
70,136232_0.20454545454545459.png,0.20454545454545459,0
79,136247_0.4318181818181819.png,0.4318181818181819,0
77,136202_-0.25.png,-0.25,0
9,136231_0.18939393939393945.png,0.18939393939393945,0
87,136193_-0.38636363636363635.png,-0.38636363636363635,1
50,136223_0.06818181818181823.png,0.06818181818181823,0
14,136238_0.2954545454545454.png,0.2954545454545454,0
99,136216_-0.037878787878787845.png,-0.037878787878787845,1
66,136197_-0.32575757575757575.png,-0.32575757575757575,0
10,136230_0.1742424242424243.png,0.1742424242424243,0
47,136254_0.5378787878787878.png,0.5378787878787878,0
52,136169_-0.75.png,-0.75,0
3,136210_-0.12878787878787878.png,-0.12878787878787878,0
46,136203_-0.23484848484848486.png,-0.23484848484848486,0
89,136245_0.4015151515151516.png,0.4015151515151516,1
43,136258_0.5984848484848486.png,0.5984848484848486,0
53,136235_0.25.png,0.25,0
51,136253_0.5227272727272727.png,0.5227272727272727,0
93,136258_0.5984848484848486.png,0.5984848484848486,1
76,136208_-0.15909090909090906.png,-0.15909090909090906,0
21,136181_-0.5681818181818181.png,-0.5681818181818181,0
63,136237_0.2803030303030303.png,0.2803030303030303,0
74,136194_-0.3712121212121212.png,-0.3712121212121212,0
91,136212_-0.09848484848484851.png,-0.09848484848484851,1
92,136266_0.7196969696969697.png,0.7196969696969697,1
69,136190_-0.4318181818181818.png,-0.4318181818181818,0
5,136257_0.5833333333333335.png,0.5833333333333335,0
31,136179_-0.5984848484848485.png,-0.5984848484848485,0
11,136222_0.053030303030303094.png,0.053030303030303094,0
54,136196_-0.3409090909090909.png,-0.3409090909090909,0
8,136259_0.6136363636363638.png,0.6136363636363638,0
94,136184_-0.5227272727272727.png,-0.5227272727272727,1
22,136191_-0.41666666666666663.png,-0.41666666666666663,0
26,136192_-0.4015151515151515.png,-0.4015151515151515,0
28,136216_-0.037878787878787845.png,-0.037878787878787845,0
13,136226_0.11363636363636365.png,0.11363636363636365,0
64,136183_-0.5378787878787878.png,-0.5378787878787878,0
96,136204_-0.21969696969696972.png,-0.21969696969696972,1
95,136203_-0.23484848484848486.png,-0.23484848484848486,1
30,136267_0.7348484848484849.png,0.7348484848484849,0
15,136189_-0.44696969696969696.png,-0.44696969696969696,0
41,136219_0.007575757575757569.png,0.007575757575757569,0
62,136220_0.022727272727272707.png,0.022727272727272707,0
32,136227_0.12878787878787878.png,0.12878787878787878,0
18,136172_-0.7045454545454546.png,-0.7045454545454546,0
44,136184_-0.5227272727272727.png,-0.5227272727272727,0
97,136249_0.46212121212121215.png,0.46212121212121215,1
33,136187_-0.4772727272727273.png,-0.4772727272727273,0
49,136180_-0.5833333333333333.png,-0.5833333333333333,0
98,136178_-0.6136363636363636.png,-0.6136363636363636,1
80,136200_-0.2803030303030303.png,-0.2803030303030303,1
85,136236_0.26515151515151514.png,0.26515151515151514,1
83,136257_0.5833333333333335.png,0.5833333333333335,1
34,136233_0.21969696969696972.png,0.21969696969696972,0
84,136176_-0.6439393939393939.png,-0.6439393939393939,1
72,136199_-0.2954545454545454.png,-0.2954545454545454,0
86,136183_-0.5378787878787878.png,-0.5378787878787878,1
75,136242_0.3560606060606062.png,0.3560606060606062,0
68,136207_-0.1742424242424242.png,-0.1742424242424242,0
73,136224_0.08333333333333337.png,0.08333333333333337,0
20,136261_0.643939393939394.png,0.643939393939394,0
25,136262_0.6590909090909092.png,0.6590909090909092,0
19,136229_0.15909090909090917.png,0.15909090909090917,0
56,136236_0.26515151515151514.png,0.26515151515151514,0
35,136204_-0.21969696969696972.png,-0.21969696969696972,0
4,136264_0.6893939393939394.png,0.6893939393939394,0
90,136267_0.7348484848484849.png,0.7348484848484849,1
0,136185_-0.5075757575757576.png,-0.5075757575757576,0
82,136194_-0.3712121212121212.png,-0.3712121212121212,1
65,136215_-0.05303030303030298.png,-0.05303030303030298,0
6,136175_-0.6590909090909091.png,-0.6590909090909091,0
59,136240_0.3257575757575757.png,0.3257575757575757,0
60,136225_0.09848484848484851.png,0.09848484848484851,0
61,136260_0.6287878787878789.png,0.6287878787878789,0
29,136176_-0.6439393939393939.png,-0.6439393939393939,0
16,136178_-0.6136363636363636.png,-0.6136363636363636,0
67,136256_0.5681818181818181.png,0.5681818181818181,0
12,136195_-0.3560606060606061.png,-0.3560606060606061,0
58,136251_0.49242424242424243.png,0.49242424242424243,0
78,136213_-0.08333333333333326.png,-0.08333333333333326,0
71,136173_-0.6893939393939394.png,-0.6893939393939394,0
27,136265_0.7045454545454546.png,0.7045454545454546,0
