,Filename,intelligent,repeat
63,136197_-0.21717171717171713.png,-0.21717171717171713,0
48,136267_0.48989898989898994.png,0.48989898989898994,0
41,136173_-0.4595959595959596.png,-0.4595959595959596,0
37,136219_0.005050505050505083.png,0.005050505050505083,0
98,136210_-0.0858585858585858.png,-0.0858585858585858,1
29,136193_-0.25757575757575757.png,-0.25757575757575757,0
10,136182_-0.3686868686868687.png,-0.3686868686868687,0
1,136231_0.1262626262626263.png,0.1262626262626263,0
92,136203_-0.15656565656565652.png,-0.15656565656565652,1
27,136220_0.015151515151515249.png,0.015151515151515249,0
19,136251_0.3282828282828284.png,0.3282828282828284,0
64,136213_-0.055555555555555525.png,-0.055555555555555525,0
78,136228_0.09595959595959602.png,0.09595959595959602,0
69,136244_0.2575757575757577.png,0.2575757575757577,0
74,136170_-0.4898989898989899.png,-0.4898989898989899,0
72,136255_0.36868686868686873.png,0.36868686868686873,0
50,136181_-0.3787878787878788.png,-0.3787878787878788,0
32,136217_-0.015151515151515138.png,-0.015151515151515138,0
9,136204_-0.1464646464646464.png,-0.1464646464646464,0
31,136183_-0.35858585858585856.png,-0.35858585858585856,0
8,136179_-0.398989898989899.png,-0.398989898989899,0
75,136175_-0.4393939393939394.png,-0.4393939393939394,0
89,136182_-0.3686868686868687.png,-0.3686868686868687,1
65,136184_-0.3484848484848485.png,-0.3484848484848485,0
88,136208_-0.10606060606060602.png,-0.10606060606060602,1
66,136227_0.08585858585858586.png,0.08585858585858586,0
58,136216_-0.025252525252525193.png,-0.025252525252525193,0
86,136202_-0.16666666666666663.png,-0.16666666666666663,1
53,136210_-0.0858585858585858.png,-0.0858585858585858,0
44,136189_-0.29797979797979796.png,-0.29797979797979796,0
47,136205_-0.13636363636363635.png,-0.13636363636363635,0
82,136255_0.36868686868686873.png,0.36868686868686873,1
0,136240_0.21717171717171724.png,0.21717171717171724,0
91,136196_-0.22727272727272724.png,-0.22727272727272724,1
14,136257_0.38888888888888895.png,0.38888888888888895,0
80,136262_0.43939393939393945.png,0.43939393939393945,1
13,136258_0.3989898989898991.png,0.3989898989898991,0
25,136250_0.31818181818181823.png,0.31818181818181823,0
30,136172_-0.4696969696969697.png,-0.4696969696969697,0
55,136238_0.19696969696969702.png,0.19696969696969702,0
68,136214_-0.045454545454545414.png,-0.045454545454545414,0
61,136243_0.24747474747474751.png,0.24747474747474751,0
59,136239_0.20707070707070718.png,0.20707070707070718,0
49,136176_-0.4292929292929293.png,-0.4292929292929293,0
70,136202_-0.16666666666666663.png,-0.16666666666666663,0
18,136178_-0.40909090909090906.png,-0.40909090909090906,0
38,136221_0.025252525252525304.png,0.025252525252525304,0
3,136194_-0.24747474747474746.png,-0.24747474747474746,0
90,136228_0.09595959595959602.png,0.09595959595959602,1
46,136249_0.3080808080808082.png,0.3080808080808082,0
57,136192_-0.2676767676767676.png,-0.2676767676767676,0
67,136225_0.06565656565656575.png,0.06565656565656575,0
2,136207_-0.11616161616161613.png,-0.11616161616161613,0
97,136171_-0.4797979797979798.png,-0.4797979797979798,1
40,136185_-0.33838383838383834.png,-0.33838383838383834,0
26,136212_-0.06565656565656564.png,-0.06565656565656564,0
35,136241_0.2272727272727273.png,0.2272727272727273,0
7,136198_-0.20707070707070707.png,-0.20707070707070707,0
96,136222_0.03535353535353536.png,0.03535353535353536,1
51,136223_0.045454545454545525.png,0.045454545454545525,0
39,136200_-0.18686868686868685.png,-0.18686868686868685,0
94,136238_0.19696969696969702.png,0.19696969696969702,1
22,136211_-0.07575757575757575.png,-0.07575757575757575,0
16,136203_-0.15656565656565652.png,-0.15656565656565652,0
83,136234_0.15656565656565657.png,0.15656565656565657,1
45,136191_-0.2777777777777778.png,-0.2777777777777778,0
43,136171_-0.4797979797979798.png,-0.4797979797979798,0
76,136209_-0.09595959595959591.png,-0.09595959595959591,0
4,136254_0.3585858585858587.png,0.3585858585858587,0
42,136215_-0.035353535353535304.png,-0.035353535353535304,0
56,136188_-0.30808080808080807.png,-0.30808080808080807,0
23,136186_-0.3282828282828283.png,-0.3282828282828283,0
20,136229_0.10606060606060608.png,0.10606060606060608,0
85,136191_-0.2777777777777778.png,-0.2777777777777778,1
24,136196_-0.22727272727272724.png,-0.22727272727272724,0
11,136262_0.43939393939393945.png,0.43939393939393945,0
77,136187_-0.3181818181818182.png,-0.3181818181818182,0
99,136177_-0.41919191919191917.png,-0.41919191919191917,1
62,136226_0.0757575757575758.png,0.0757575757575758,0
95,136216_-0.025252525252525193.png,-0.025252525252525193,1
79,136233_0.14646464646464652.png,0.14646464646464652,0
6,136208_-0.10606060606060602.png,-0.10606060606060602,0
71,136263_0.4494949494949496.png,0.4494949494949496,0
84,136175_-0.4393939393939394.png,-0.4393939393939394,1
34,136206_-0.12626262626262624.png,-0.12626262626262624,0
17,136237_0.18686868686868696.png,0.18686868686868696,0
52,136199_-0.19696969696969696.png,-0.19696969696969696,0
93,136257_0.38888888888888895.png,0.38888888888888895,1
33,136177_-0.41919191919191917.png,-0.41919191919191917,0
73,136246_0.2777777777777778.png,0.2777777777777778,0
54,136222_0.03535353535353536.png,0.03535353535353536,0
15,136201_-0.17676767676767674.png,-0.17676767676767674,0
21,136234_0.15656565656565657.png,0.15656565656565657,0
5,136247_0.28787878787878796.png,0.28787878787878796,0
87,136225_0.06565656565656575.png,0.06565656565656575,1
12,136232_0.13636363636363646.png,0.13636363636363646,0
60,136190_-0.28787878787878785.png,-0.28787878787878785,0
81,136227_0.08585858585858586.png,0.08585858585858586,1
36,136266_0.4797979797979799.png,0.4797979797979799,0
28,136264_0.45959595959595967.png,0.45959595959595967,0
