subId,000192.jpg,004868.jpg,007128.jpg,010645.jpg,011510.jpg,012925.jpg,014755.jpg,017238.jpg,030000.jpg,031206.jpg,033997.jpg,035508.jpg,035590.jpg,039990.jpg,043287.jpg,047217.jpg,050455.jpg,054267.jpg,054808.jpg,057518.jpg,059217.jpg,060174.jpg,063392.jpg,067760.jpg,067792.jpg,068906.jpg,069359.jpg,070844.jpg,073829.jpg,075975.jpg,077912.jpg,082102.jpg,083021.jpg,084296.jpg,086966.jpg,089364.jpg,092268.jpg,096767.jpg,098484.jpg,100138.jpg,100659.jpg,102224.jpg,104401.jpg,111185.jpg,112278.jpg,113099.jpg,115789.jpg,115851.jpg,117478.jpg,118166.jpg,119380.jpg,119535.jpg,120726.jpg,121110.jpg,121737.jpg,122364.jpg,128002.jpg,128631.jpg,132629.jpg,141059.jpg,141075.jpg,144010.jpg,144346.jpg,147371.jpg,148453.jpg,153098.jpg,156121.jpg,160622.jpg,161526.jpg,163842.jpg,163887.jpg,164278.jpg,177368.jpg,180966.jpg,187879.jpg,188240.jpg,198128.jpg,198632.jpg,200021.jpg,200278.jpg
A13KG877JUKJZO:33C7UALJVN5M59NQF2SQ4GGX57A81G,6.0,8.0,6.0,7.0,8.0,7.0,7.5,8.0,7.0,8.0,7.0,7.5,7.0,7.5,8.0,7.0,7.0,8.0,7.0,6.5,7.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,7.0,7.5,8.0,8.0,8.0,7.0,7.5,8.0,6.0,8.0,8.0,7.0,8.0,8.0,7.0,7.5,8.0,8.0,7.0,7.5,7.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.5,7.5,7.0,8.0,9.0,8.0,8.0,7.0,8.0
A17D6BK59S31BM:3R5F3LQFV4RMLXVEUUQETWQ9XRHZOP,7.0,1.0,4.0,8.0,1.0,1.0,6.0,6.0,1.0,6.0,7.0,8.0,7.0,1.0,6.0,2.0,1.0,3.0,7.0,1.0,7.0,8.0,3.0,8.0,7.0,6.0,1.0,6.0,7.5,6.0,1.0,8.0,2.0,8.0,7.0,1.0,8.0,7.0,1.0,6.0,6.0,1.0,4.0,7.5,1.0,8.0,7.0,5.0,7.0,6.0,8.0,5.0,5.0,7.0,1.0,7.0,8.0,1.0,6.0,1.0,6.0,1.0,7.0,7.0,3.0,7.0,5.0,7.0,2.0,6.0,5.0,3.5,2.0,7.0,7.0,8.0,1.0,8.0,7.0,2.0
A1FOF49RRN3ST7:3SITXWYCNXGDX86QP7X7QRAZIS0XBM,8.0,5.5,7.0,6.0,7.0,7.0,7.0,6.5,8.0,6.0,8.0,6.0,7.5,7.0,7.0,7.0,6.0,6.0,8.0,5.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,7.0,7.0,9.0,6.0,6.0,9.0,6.5,6.5,6.0,7.0,7.0,6.5,5.5,7.0,6.0,7.0,7.0,7.0,6.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,6.0,9.0,7.0,7.0,7.0,7.0,8.0,6.0,6.5,9.0,7.0,7.0,5.5,7.5,6.0,7.0,7.0,8.0,7.0,7.0,6.0
A1IV1O890FN1QA:3PPTZCWALSRP698U97III1L9CSZZQX,8.0,7.0,8.0,9.0,9.0,7.0,8.0,8.0,7.0,8.0,9.0,9.0,8.5,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.5,8.0,7.0,9.0,9.0,9.0,7.0,8.0,8.5,8.0,9.0,8.0,7.0,9.0,8.5,8.0,8.0,8.0,7.0,8.0,9.0,7.0,8.0,9.0,7.0,9.0,9.0,9.0,8.5,8.0,9.0,7.0,8.0,8.0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,9.0,9.0,9.0,7.0,9.0,7.0,8.5,7.0,8.0,8.0,8.0,7.5,9.0,8.0,9.0,6.0,9.0,8.0,8.0
A1KGCOR8OXYR72:30X31N5D65X0IHFZPJROW891LVDSAE,8.0,1.0,6.0,9.0,4.0,1.0,8.0,8.5,3.0,7.0,7.0,8.5,8.0,2.0,6.0,2.0,3.0,5.0,9.0,1.0,9.0,9.0,2.0,9.0,8.0,8.0,3.0,8.0,9.0,8.0,4.0,8.0,5.0,8.5,6.0,1.0,9.0,9.0,2.0,7.0,9.0,1.0,6.0,9.0,1.0,9.0,9.0,6.0,9.0,9.0,9.0,7.0,4.0,8.0,3.0,9.0,9.0,1.0,9.0,3.0,9.0,2.0,9.0,5.0,4.0,9.0,8.0,6.0,3.0,7.0,8.0,6.0,3.0,7.0,9.0,9.0,1.0,9.0,9.0,2.0
A223UBAD8S1SIB:3OB0CAO74JWCOQZMUVT5VGK6FB8YHI,4.0,4.0,6.0,6.0,7.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,5.5,4.0,6.0,6.0,6.0,4.0,5.0,6.0,7.0,3.0,3.0,6.0,5.0,5.0,7.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.5,5.0,6.0,6.0,3.5,5.0,4.0,5.0,6.0,3.5,5.5,4.0,5.0,6.0,3.5,4.0,4.0,6.0,5.5,3.0,6.0,7.0,5.0,7.0,7.0,5.0,5.0,5.0,7.0,4.0,7.0,5.0,6.0,4.0,4.0,5.0,4.0,5.0,5.5,4.0,7.0,5.0,5.0,6.0,7.0,4.0
A25PFSORDO3SWQ:3CFJTT4SXVXT51E5D4LQIF1OBP67IB,7.0,2.0,6.0,7.0,4.0,3.0,6.0,4.0,4.0,6.0,7.0,9.0,7.5,3.5,7.0,4.0,5.0,5.0,8.0,3.0,8.0,9.0,4.0,8.0,7.0,6.0,4.0,5.0,8.5,5.0,4.0,9.0,5.0,6.0,8.0,3.0,9.0,9.0,4.0,6.0,8.0,3.0,5.0,9.0,2.0,8.0,9.0,6.0,9.0,9.0,6.0,6.0,5.0,6.0,3.0,8.0,9.0,3.0,7.0,3.0,8.0,4.0,8.0,7.0,5.0,7.0,5.0,8.0,4.0,9.0,9.0,5.0,3.5,7.0,9.0,9.0,2.0,8.0,8.0,3.0
A2C7TMRC2QHTIW:30H4UDGLT4P47Q8WU5DZAUZQSSVPMF,9.0,1.0,5.0,9.0,3.0,1.0,5.0,8.0,1.0,8.0,9.0,9.0,8.0,3.0,6.0,4.0,1.0,5.0,9.0,1.0,9.0,9.0,4.0,9.0,9.0,4.0,3.0,5.0,9.0,5.0,1.0,9.0,5.0,9.0,7.0,1.0,9.0,8.0,1.5,7.5,9.0,1.0,3.0,9.0,1.0,9.0,9.0,1.0,9.0,9.0,9.0,1.0,5.5,8.0,1.0,9.0,9.0,1.0,7.0,1.0,8.0,1.0,9.0,5.0,1.0,9.0,5.0,6.0,3.0,9.0,3.0,5.0,1.0,9.0,9.0,9.0,1.0,9.0,8.0,1.0
A2JBCLJVJ2VXVZ:3C5W7UE9CHX9GZANGWNG47LTUR4XMB,8.0,3.5,5.0,7.0,5.0,4.0,7.0,7.5,4.0,7.0,9.0,9.0,8.0,4.5,5.0,4.0,6.0,6.0,8.0,4.0,9.0,7.0,2.0,9.0,7.0,7.0,5.0,9.0,8.0,5.0,6.0,8.0,4.0,7.5,6.0,4.0,7.0,9.0,5.5,6.0,6.0,4.0,7.0,9.0,3.5,9.0,9.0,6.0,6.5,7.0,8.0,6.0,5.5,9.0,4.0,9.0,9.0,3.0,7.0,4.0,6.0,2.0,9.0,8.0,5.0,8.0,7.0,8.0,2.0,8.0,5.0,5.0,5.5,9.0,9.0,9.0,2.0,9.0,8.0,4.0
A2RW5C2LH11418:3OJSZ2ATDU3HTDJQ6K2WT6XJ636757,9.0,5.0,8.0,9.0,6.0,5.0,7.5,8.0,6.0,8.0,9.0,9.0,8.5,6.5,7.0,7.0,5.0,8.0,9.0,5.0,9.0,9.0,7.0,9.0,9.0,8.0,5.0,8.0,9.0,8.0,5.0,9.0,6.0,9.0,8.5,5.0,9.0,7.0,5.5,7.0,8.0,5.0,9.0,9.0,5.0,9.0,9.0,9.0,8.5,8.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,5.0,9.0,6.0,9.0,6.0,9.0,9.0,6.0,9.0,9.0,8.0,6.0,8.0,9.0,6.5,5.5,8.0,9.0,9.0,5.0,9.0,8.0,5.0
