,subId,rt,imgName,isRepeat,rating,trial_index,debug_mode
0,debugKXH3HJ:debugFOUV4M,1860,/static/images/2kfaces/Google_1_Paul Reno_1_oval.jpg,0,5,6,debug
1,debugKXH3HJ:debugFOUV4M,4852,/static/images/2kfaces/Google_1_Norman Westfall_5_oval.jpg,0,5,8,debug
2,debugKXH3HJ:debugFOUV4M,77811,/static/images/2kfaces/Google_1_Sara Guajardo_1_oval.jpg,0,5,10,debug
3,debugKXH3HJ:debugFOUV4M,4087,/static/images/2kfaces/Google_1_Sherry Mcmichael_11_oval.jpg,0,5,12,debug
4,debugKXH3HJ:debugFOUV4M,3030,/static/images/2kfaces/Google_1_Gertrude Bayne_11_oval.jpg,0,5,14,debug
5,debugKXH3HJ:debugFOUV4M,1989,/static/images/2kfaces/Google_1_Gertrude Bayne_11_oval.jpg,1,5,18,debug
6,debugKXH3HJ:debugFOUV4M,2066,/static/images/2kfaces/Google_1_Sara Guajardo_1_oval.jpg,1,5,20,debug
7,debugKXH3HJ:debugFOUV4M,2311,/static/images/2kfaces/Google_1_Norman Westfall_5_oval.jpg,1,5,22,debug
8,debugKXH3HJ:debugFOUV4M,1887,/static/images/2kfaces/Google_1_Paul Reno_1_oval.jpg,1,5,24,debug
9,debugKXH3HJ:debugFOUV4M,1494,/static/images/2kfaces/Google_1_Sherry Mcmichael_11_oval.jpg,1,5,26,debug
