,subId,rt,imgName,rating,trial_index,debug_mode
0,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,2498,136184_-0.5227272727272727.png,6,2,live
1,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1397,136222_0.053030303030303094.png,5,3,live
2,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,2459,136216_-0.037878787878787845.png,4,4,live
3,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1065,136190_-0.4318181818181818.png,4,5,live
4,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,4034,136172_-0.7045454545454546.png,7,6,live
5,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,6224,136184_-0.5227272727272727.png,6,7,live
6,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1155,136236_0.26515151515151514.png,6,8,live
7,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1214,136220_0.022727272727272707.png,6,9,live
8,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1244,136173_-0.6893939393939394.png,6,10,live
9,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1155,136267_0.7348484848484849.png,6,11,live
10,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1351,136217_-0.022727272727272707.png,6,13,live
11,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1123,136213_-0.08333333333333326.png,6,14,live
12,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1139,136218_-0.007575757575757569.png,6,15,live
13,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1245,136189_-0.44696969696969696.png,6,16,live
14,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,4514,136204_-0.21969696969696972.png,7,17,live
15,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1303,136265_0.7045454545454546.png,7,18,live
16,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1334,136267_0.7348484848484849.png,7,19,live
17,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1408,136204_-0.21969696969696972.png,8,20,live
18,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1154,136248_0.446969696969697.png,8,21,live
19,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,2534,136212_-0.09848484848484851.png,6,22,live
20,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1696,136258_0.5984848484848486.png,5,24,live
21,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1034,136219_0.007575757575757569.png,5,25,live
22,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1078,136178_-0.6136363636363636.png,5,26,live
23,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,4544,136226_0.11363636363636365.png,5,27,live
24,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1754,136245_0.4015151515151516.png,6,28,live
25,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1439,136245_0.4015151515151516.png,7,29,live
26,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1169,136225_0.09848484848484851.png,7,30,live
27,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1094,136236_0.26515151515151514.png,7,31,live
28,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1093,136230_0.1742424242424243.png,7,32,live
29,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1109,136205_-0.20454545454545459.png,7,33,live
30,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1066,136183_-0.5378787878787878.png,7,35,live
31,ABL3H3O3BI8ZD:3IUZPWIU1QEZ1B5ULFEENBFIX08WKE,1153,136176_-0.6439393939393939.png,7,36,live
