,total_unique_trials,SubjectID,Score,rt,ImgID,imgName,trial_index,Age,Gender,Hispanic/Latino,Race,Education,State,Zipcode,payment
3584,40.0,11,3.0,2902.0,1,Google_1_Eric Osuna_3_oval.jpg,22,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3629,40.0,11,3.0,1797.0,1,Google_1_Eric Osuna_3_oval.jpg,72,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3596,40.0,11,3.0,2229.0,5,Google_1_Ernest Crump_3_oval.jpg,35,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3618,40.0,11,3.0,1624.0,5,Google_1_Ernest Crump_3_oval.jpg,60,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3601,40.0,11,5.0,2254.0,8,Bryan_Shanklin_9_oval.jpg,41,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3642,40.0,11,5.0,2093.0,8,Bryan_Shanklin_9_oval.jpg,87,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3587,40.0,11,7.0,2743.0,10,Google_1_Sherry Mcmichael_11_oval.jpg,25,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3620,40.0,11,7.0,2868.0,10,Google_1_Sherry Mcmichael_11_oval.jpg,63,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3607,40.0,11,5.0,2449.0,13,Google_1_Frank Luke_9_oval.jpg,47,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3644,40.0,11,5.0,2770.0,13,Google_1_Frank Luke_9_oval.jpg,89,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3592,40.0,11,3.0,2184.0,14,Google_1_Russell Gillam_17_oval.jpg,31,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3633,40.0,11,3.0,1598.0,14,Google_1_Russell Gillam_17_oval.jpg,77,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3578,40.0,11,3.0,3128.0,16,Google_1_Steve Stamm_1_oval.jpg,15,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3646,40.0,11,3.0,1941.0,16,Google_1_Steve Stamm_1_oval.jpg,91,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3581,40.0,11,3.0,2705.0,17,Google_1_Valerie Noble_9_oval.jpg,19,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3643,40.0,11,3.0,3348.0,17,Google_1_Valerie Noble_9_oval.jpg,88,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3598,40.0,11,3.0,4015.0,19,Google_1_Marjorie Rule_3_oval.jpg,37,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3612,40.0,11,3.0,1582.0,19,Google_1_Marjorie Rule_3_oval.jpg,54,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3577,40.0,11,3.0,3208.0,23,Google_1_Alma Poor_7_oval.jpg,14,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3630,40.0,11,3.0,1689.0,23,Google_1_Alma Poor_7_oval.jpg,74,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3589,40.0,11,3.0,2064.0,24,Google_1_Erika Fletcher_1_oval.jpg,28,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3615,40.0,11,3.0,1763.0,24,Google_1_Erika Fletcher_1_oval.jpg,57,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3603,40.0,11,3.0,2838.0,30,Google_1_Cindy Morehead_5_oval.jpg,43,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3637,40.0,11,3.0,1779.0,30,Google_1_Cindy Morehead_5_oval.jpg,81,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
3572,40.0,11,5.0,3960.0,31,Google_1_Tina Middleton_7_oval.jpg,9,26-35,Male,No,White,High school degree or equivalent (e.g. GED),New Hampshire,03874,2.0
