,subId,rt,imgName,isRepeat,rating,trial_index
31,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,3160,/static/images/2kfaces/Google_1_Wilma Allman_15_oval.jpg,0,6,38
32,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,1601,/static/images/2kfaces/Google_1_Diana Bateman_7_oval.jpg,0,5,39
33,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2528,/static/images/2kfaces/Google_1_Leonard Overcash_5_oval.jpg,0,8,40
34,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2561,/static/images/2kfaces/Google_1_Andrew Diggs_9_oval.jpg,0,7,41
35,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2512,/static/images/2kfaces/Google_1_Timothy Galvan_11_oval.jpg,0,5,42
36,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,3464,/static/images/2kfaces/Google_1_Russell Gillam_17_oval.jpg,0,2,43
37,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,3422,/static/images/2kfaces/Google_1_Sarah Woodcock_3_oval.jpg,0,2,44
38,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2497,/static/images/2kfaces/Google_1_Donald Shaw_13_oval.jpg,0,5,45
39,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2591,/static/images/2kfaces/Google_1_Vera Becker_5_oval.jpg,0,4,46
40,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,3454,/static/images/2kfaces/Google_1_Frank Whitehouse_3_oval.jpg,0,8,47
41,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2096,/static/images/2kfaces/Google_1_Molly Palm_5_oval.jpg,0,4,49
42,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,1466,/static/images/2kfaces/Google_1_Donna Asberry_5_oval.jpg,0,3,50
43,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2012,/static/images/2kfaces/Google_1_Leonard True_5_oval.jpg,0,6,51
44,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2303,/static/images/2kfaces/Google_1_Florence Melton_1_oval.jpg,0,4,52
45,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2031,/static/images/2kfaces/Google_1_Shelia Latham_17_oval.jpg,0,4,53
46,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2885,/static/images/2kfaces/Google_1_Marjorie Rule_3_oval.jpg,0,4,54
47,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2558,/static/images/2kfaces/Google_1_Gloria Canada_13_oval.jpg,0,3,55
48,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2480,/static/images/2kfaces/Google_1_Florence Lott_19_oval.jpg,0,2,56
49,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2240,/static/images/2kfaces/Alice_Mckellar_11_oval.jpg,0,3,57
50,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2340,/static/images/2kfaces/Google_1_Billy Kiely_1_oval.jpg,0,6,58
51,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2746,/static/images/2kfaces/Google_1_Stanley Kato_17_oval.jpg,0,7,59
52,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,1796,/static/images/2kfaces/Google_1_Beth Hollister_3_oval.jpg,0,4,60
53,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2900,/static/images/2kfaces/Google_1_Stephen Conley_1_oval.jpg,0,7,61
54,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,3619,/static/images/2kfaces/Google_1_Stanley Rowden_19_oval.jpg,0,5,62
55,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,4735,/static/images/2kfaces/Google_1_Jonathan Marek_5_oval.jpg,0,4,63
56,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,1857,/static/images/2kfaces/Google_1_Antonio Benn_12_oval.jpg,0,4,64
57,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2951,/static/images/2kfaces/Google_1_Douglas Tanguay_9_oval.jpg,0,3,65
58,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2800,/static/images/2kfaces/Google_1_Tina Middleton_7_oval.jpg,0,3,66
59,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2908,/static/images/2kfaces/Google_1_Samuel Goff_1_oval.jpg,0,5,67
60,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2974,/static/images/2kfaces/Google_1_Colleen Summer_5_oval.jpg,0,3,68
61,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,1987,/static/images/2kfaces/Google_1_Matthew Vanbuskirk_1_oval.jpg,0,2,69
62,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2435,/static/images/2kfaces/Google_1_Valerie Noble_9_oval.jpg,0,2,70
63,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2474,/static/images/2kfaces/Google_1_Charlotte Dearborn_13_oval.jpg,0,6,71
64,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2028,/static/images/2kfaces/Google_1_Gary Perri_3_oval.jpg,0,3,72
65,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2550,/static/images/2kfaces/Google_1_Eva Kirkman_15_oval.jpg,0,3,73
66,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2272,/static/images/2kfaces/Google_1_Mark Detwiler_9_oval.jpg,0,2,74
67,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2520,/static/images/2kfaces/Google_1_Ernest Crump_3_oval.jpg,0,1,75
68,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2964,/static/images/2kfaces/Google_1_Bryan Brunner_3_oval.jpg,0,4,76
69,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2139,/static/images/2kfaces/Google_1_Paul Reno_1_oval.jpg,0,4,77
70,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2894,/static/images/2kfaces/Google_1_Erika Fletcher_1_oval.jpg,0,4,78
71,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2332,/static/images/2kfaces/Google_1_Paul Horst_15_oval.jpg,0,4,79
72,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,1892,/static/images/2kfaces/Google_1_Cheryl Griffin_15_oval.jpg,0,3,80
73,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2344,/static/images/2kfaces/Google_1_Joshua Lessard_11_oval.jpg,0,5,81
74,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,1904,/static/images/2kfaces/Google_1_Kenneth Rigsby_15_oval.jpg,0,6,82
75,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2262,/static/images/2kfaces/Google_1_Ronald Driver_19_oval.jpg,0,7,83
76,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2918,/static/images/2kfaces/Google_1_Shelley Lund_5_oval.jpg,0,7,84
77,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,1936,/static/images/2kfaces/Google_1_Jeff Williford_7_oval.jpg,0,6,85
78,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2707,/static/images/2kfaces/Google_1_Amelia Lines_11_oval.jpg,0,3,86
79,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,2778,/static/images/2kfaces/Google_1_Ryan Marvel_15_oval.jpg,0,5,87
80,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,3404,/static/images/2kfaces/Google_1_Kathleen Sartain_1_oval.jpg,0,3,88
81,AA4JYAPLYB6QT:3IHR8NYAM98O30JQO1D3O0IPQZO4PR,3982,/static/images/2kfaces/Google_1_Jose Monaghan_9_oval.jpg,1,4,91
