im1_name,im2_name,low_first,pair_ind,repeat,task_type
/static/images/modifae_pairwise/attractive/136220_0.0.png,/static/images/modifae_pairwise/attractive/136220_-0.75.png,0,88,0,gt
/static/images/modifae_pairwise/attractive/136221_0.0.png,/static/images/modifae_pairwise/attractive/136221_-0.75.png,0,32,0,modifae
/static/images/modifae_pairwise/attractive/136191_-0.75.png,/static/images/modifae_pairwise/attractive/136191_0.0.png,1,64,0,modifae
/static/images/modifae_pairwise/attractive/136259_-0.75.png,/static/images/modifae_pairwise/attractive/136259_0.0.png,1,40,0,modifae
/static/images/modifae_pairwise/attractive/136261_-0.75.png,/static/images/modifae_pairwise/attractive/136261_0.0.png,1,61,0,modifae
/static/images/modifae_pairwise/attractive/136202_-0.75.png,/static/images/modifae_pairwise/attractive/136202_0.0.png,1,74,0,modifae
/static/images/modifae_pairwise/attractive/136183_0.0.png,/static/images/modifae_pairwise/attractive/136183_-0.75.png,0,89,0,gt
/static/images/modifae_pairwise/attractive/136207_-0.75.png,/static/images/modifae_pairwise/attractive/136207_0.0.png,1,71,0,modifae
/static/images/modifae_pairwise/attractive/136228_0.0.png,/static/images/modifae_pairwise/attractive/136228_-0.75.png,0,38,0,modifae
/static/images/modifae_pairwise/attractive/136229_0.0.png,/static/images/modifae_pairwise/attractive/136229_-0.75.png,0,76,1,modifae
/static/images/modifae_pairwise/attractive/136189_0.0.png,/static/images/modifae_pairwise/attractive/136189_-0.75.png,0,31,0,modifae
/static/images/modifae_pairwise/attractive/136188_0.0.png,/static/images/modifae_pairwise/attractive/136188_-0.75.png,0,57,0,modifae
/static/images/modifae_pairwise/attractive/136239_0.0.png,/static/images/modifae_pairwise/attractive/136239_-0.75.png,0,6,0,modifae
/static/images/modifae_pairwise/attractive/136238_0.0.png,/static/images/modifae_pairwise/attractive/136238_-0.75.png,0,79,0,modifae
/static/images/modifae_pairwise/attractive/136257_-0.75.png,/static/images/modifae_pairwise/attractive/136257_0.0.png,1,48,0,modifae
/static/images/modifae_pairwise/attractive/136236_0.0.png,/static/images/modifae_pairwise/attractive/136236_-0.75.png,0,26,0,modifae
/static/images/modifae_pairwise/attractive/136240_-0.75.png,/static/images/modifae_pairwise/attractive/136240_0.0.png,1,34,0,modifae
/static/images/modifae_pairwise/attractive/136234_0.0.png,/static/images/modifae_pairwise/attractive/136234_-0.75.png,0,80,0,gt
/static/images/modifae_pairwise/attractive/136233_0.0.png,/static/images/modifae_pairwise/attractive/136233_-0.75.png,0,4,0,modifae
/static/images/gt_pairwise/attractive-low-3.png,/static/images/gt_pairwise/attractive-mid-3.png,1,83,0,gt
/static/images/modifae_pairwise/attractive/136185_-0.75.png,/static/images/modifae_pairwise/attractive/136185_0.0.png,1,22,0,modifae
/static/images/modifae_pairwise/attractive/136230_0.0.png,/static/images/modifae_pairwise/attractive/136230_-0.75.png,0,67,0,modifae
/static/images/modifae_pairwise/attractive/136185_0.0.png,/static/images/modifae_pairwise/attractive/136185_-0.75.png,0,21,0,modifae
/static/images/modifae_pairwise/attractive/136184_0.0.png,/static/images/modifae_pairwise/attractive/136184_-0.75.png,0,32,1,modifae
/static/images/modifae_pairwise/attractive/136225_-0.75.png,/static/images/modifae_pairwise/attractive/136225_0.0.png,1,27,1,modifae
/static/images/modifae_pairwise/attractive/136223_0.0.png,/static/images/modifae_pairwise/attractive/136223_-0.75.png,0,75,0,modifae
/static/images/modifae_pairwise/attractive/136214_-0.75.png,/static/images/modifae_pairwise/attractive/136214_0.0.png,1,51,0,modifae
/static/images/modifae_pairwise/attractive/136246_-0.75.png,/static/images/modifae_pairwise/attractive/136246_0.0.png,1,36,0,modifae
/static/images/modifae_pairwise/attractive/136226_0.0.png,/static/images/modifae_pairwise/attractive/136226_-0.75.png,0,86,0,gt
/static/images/modifae_pairwise/attractive/136182_0.0.png,/static/images/modifae_pairwise/attractive/136182_-0.75.png,0,13,1,modifae
/static/images/modifae_pairwise/attractive/136248_0.0.png,/static/images/modifae_pairwise/attractive/136248_-0.75.png,0,39,0,modifae
/static/images/modifae_pairwise/attractive/136204_-0.75.png,/static/images/modifae_pairwise/attractive/136204_0.0.png,1,72,0,modifae
/static/images/modifae_pairwise/attractive/136242_0.0.png,/static/images/modifae_pairwise/attractive/136242_-0.75.png,0,76,0,modifae
/static/images/modifae_pairwise/attractive/136217_-0.75.png,/static/images/modifae_pairwise/attractive/136217_0.0.png,1,52,0,modifae
/static/images/modifae_pairwise/attractive/136240_0.0.png,/static/images/modifae_pairwise/attractive/136240_-0.75.png,0,29,1,modifae
/static/images/modifae_pairwise/attractive/136241_0.0.png,/static/images/modifae_pairwise/attractive/136241_-0.75.png,0,23,0,modifae
/static/images/modifae_pairwise/attractive/136246_0.0.png,/static/images/modifae_pairwise/attractive/136246_-0.75.png,0,30,0,modifae
/static/images/modifae_pairwise/attractive/136247_0.0.png,/static/images/modifae_pairwise/attractive/136247_-0.75.png,0,65,1,modifae
/static/images/modifae_pairwise/attractive/136250_-0.75.png,/static/images/modifae_pairwise/attractive/136250_0.0.png,1,43,0,modifae
/static/images/modifae_pairwise/attractive/136245_0.0.png,/static/images/modifae_pairwise/attractive/136245_-0.75.png,0,10,0,modifae
/static/images/modifae_pairwise/attractive/136238_-0.75.png,/static/images/modifae_pairwise/attractive/136238_0.0.png,1,13,0,modifae
/static/images/modifae_pairwise/attractive/136220_-0.75.png,/static/images/modifae_pairwise/attractive/136220_0.0.png,1,0,0,modifae
/static/images/modifae_pairwise/attractive/136251_0.0.png,/static/images/modifae_pairwise/attractive/136251_-0.75.png,0,50,0,modifae
/static/images/modifae_pairwise/attractive/136250_0.0.png,/static/images/modifae_pairwise/attractive/136250_-0.75.png,0,81,0,gt
/static/images/gt_pairwise/attractive-low-2.png,/static/images/gt_pairwise/attractive-mid-2.png,1,82,0,gt
/static/images/modifae_pairwise/attractive/136252_0.0.png,/static/images/modifae_pairwise/attractive/136252_-0.75.png,0,73,0,modifae
/static/images/modifae_pairwise/attractive/136255_0.0.png,/static/images/modifae_pairwise/attractive/136255_-0.75.png,0,59,0,modifae
/static/images/modifae_pairwise/attractive/136208_-0.75.png,/static/images/modifae_pairwise/attractive/136208_0.0.png,1,78,0,modifae
/static/images/modifae_pairwise/attractive/136257_0.0.png,/static/images/modifae_pairwise/attractive/136257_-0.75.png,0,46,0,modifae
/static/images/modifae_pairwise/attractive/136256_0.0.png,/static/images/modifae_pairwise/attractive/136256_-0.75.png,0,24,0,modifae
/static/images/modifae_pairwise/attractive/136225_-0.75.png,/static/images/modifae_pairwise/attractive/136225_0.0.png,1,27,0,modifae
/static/images/modifae_pairwise/attractive/136214_0.0.png,/static/images/modifae_pairwise/attractive/136214_-0.75.png,0,29,0,modifae
/static/images/modifae_pairwise/attractive/136217_0.0.png,/static/images/modifae_pairwise/attractive/136217_-0.75.png,0,47,0,modifae
/static/images/modifae_pairwise/attractive/136188_-0.75.png,/static/images/modifae_pairwise/attractive/136188_0.0.png,1,11,0,modifae
/static/images/modifae_pairwise/attractive/136192_0.0.png,/static/images/modifae_pairwise/attractive/136192_-0.75.png,0,42,0,modifae
/static/images/modifae_pairwise/attractive/136210_0.0.png,/static/images/modifae_pairwise/attractive/136210_-0.75.png,0,85,0,gt
/static/images/modifae_pairwise/attractive/136231_-0.75.png,/static/images/modifae_pairwise/attractive/136231_0.0.png,1,20,0,modifae
/static/images/modifae_pairwise/attractive/136206_-0.75.png,/static/images/modifae_pairwise/attractive/136206_0.0.png,1,70,0,modifae
/static/images/modifae_pairwise/attractive/136266_0.0.png,/static/images/modifae_pairwise/attractive/136266_-0.75.png,0,69,0,modifae
/static/images/modifae_pairwise/attractive/136233_-0.75.png,/static/images/modifae_pairwise/attractive/136233_0.0.png,1,18,0,modifae
/static/images/modifae_pairwise/attractive/136260_0.0.png,/static/images/modifae_pairwise/attractive/136260_-0.75.png,0,17,0,modifae
/static/images/modifae_pairwise/attractive/136261_0.0.png,/static/images/modifae_pairwise/attractive/136261_-0.75.png,0,16,0,modifae
/static/images/modifae_pairwise/attractive/136262_0.0.png,/static/images/modifae_pairwise/attractive/136262_-0.75.png,0,84,0,gt
/static/images/modifae_pairwise/attractive/136239_-0.75.png,/static/images/modifae_pairwise/attractive/136239_0.0.png,1,12,0,modifae
/static/images/modifae_pairwise/attractive/136191_0.0.png,/static/images/modifae_pairwise/attractive/136191_-0.75.png,0,87,0,gt
/static/images/modifae_pairwise/attractive/136260_-0.75.png,/static/images/modifae_pairwise/attractive/136260_0.0.png,1,60,0,modifae
/static/images/modifae_pairwise/attractive/136269_0.0.png,/static/images/modifae_pairwise/attractive/136269_-0.75.png,0,62,0,modifae
/static/images/modifae_pairwise/attractive/136231_-0.75.png,/static/images/modifae_pairwise/attractive/136231_0.0.png,1,20,1,modifae
/static/images/modifae_pairwise/attractive/136271_0.0.png,/static/images/modifae_pairwise/attractive/136271_-0.75.png,0,54,0,modifae
/static/images/modifae_pairwise/attractive/136210_-0.75.png,/static/images/modifae_pairwise/attractive/136210_0.0.png,1,55,0,modifae
/static/images/modifae_pairwise/attractive/136252_-0.75.png,/static/images/modifae_pairwise/attractive/136252_0.0.png,1,45,0,modifae
/static/images/modifae_pairwise/attractive/136263_-0.75.png,/static/images/modifae_pairwise/attractive/136263_0.0.png,1,63,0,modifae
/static/images/modifae_pairwise/attractive/136204_0.0.png,/static/images/modifae_pairwise/attractive/136204_-0.75.png,0,28,0,modifae
/static/images/modifae_pairwise/attractive/136205_0.0.png,/static/images/modifae_pairwise/attractive/136205_-0.75.png,0,7,0,modifae
/static/images/modifae_pairwise/attractive/136243_-0.75.png,/static/images/modifae_pairwise/attractive/136243_0.0.png,1,33,0,modifae
/static/images/modifae_pairwise/attractive/136247_-0.75.png,/static/images/modifae_pairwise/attractive/136247_0.0.png,1,37,0,modifae
/static/images/modifae_pairwise/attractive/136200_0.0.png,/static/images/modifae_pairwise/attractive/136200_-0.75.png,0,9,0,modifae
/static/images/modifae_pairwise/attractive/136201_0.0.png,/static/images/modifae_pairwise/attractive/136201_-0.75.png,0,3,0,modifae
/static/images/modifae_pairwise/attractive/136208_0.0.png,/static/images/modifae_pairwise/attractive/136208_-0.75.png,0,66,1,modifae
/static/images/modifae_pairwise/attractive/136187_-0.75.png,/static/images/modifae_pairwise/attractive/136187_0.0.png,1,2,0,modifae
/static/images/modifae_pairwise/attractive/136264_-0.75.png,/static/images/modifae_pairwise/attractive/136264_0.0.png,1,56,0,modifae
/static/images/modifae_pairwise/attractive/136238_0.0.png,/static/images/modifae_pairwise/attractive/136238_-0.75.png,0,53,0,modifae
/static/images/modifae_pairwise/attractive/136242_0.0.png,/static/images/modifae_pairwise/attractive/136242_-0.75.png,0,77,0,modifae
/static/images/modifae_pairwise/attractive/136236_-0.75.png,/static/images/modifae_pairwise/attractive/136236_0.0.png,1,15,0,modifae
/static/images/modifae_pairwise/attractive/136243_-0.75.png,/static/images/modifae_pairwise/attractive/136243_0.0.png,1,33,1,modifae
/static/images/modifae_pairwise/attractive/136231_0.0.png,/static/images/modifae_pairwise/attractive/136231_-0.75.png,0,21,1,modifae
/static/images/modifae_pairwise/attractive/136228_-0.75.png,/static/images/modifae_pairwise/attractive/136228_0.0.png,1,8,0,modifae
/static/images/modifae_pairwise/attractive/136268_0.0.png,/static/images/modifae_pairwise/attractive/136268_-0.75.png,0,41,0,modifae
/static/images/modifae_pairwise/attractive/136182_0.0.png,/static/images/modifae_pairwise/attractive/136182_-0.75.png,0,49,0,modifae
/static/images/modifae_pairwise/attractive/136200_0.0.png,/static/images/modifae_pairwise/attractive/136200_-0.75.png,0,19,0,modifae
/static/images/gt_pairwise/attractive-mid-0.png,/static/images/gt_pairwise/attractive-low-0.png,0,68,0,modifae
/static/images/gt_pairwise/attractive-mid-1.png,/static/images/gt_pairwise/attractive-low-1.png,0,65,0,modifae
/static/images/gt_pairwise/attractive-mid-2.png,/static/images/gt_pairwise/attractive-low-2.png,0,14,0,modifae
/static/images/modifae_pairwise/attractive/136221_-0.75.png,/static/images/modifae_pairwise/attractive/136221_0.0.png,1,1,0,modifae
/static/images/gt_pairwise/attractive-mid-4.png,/static/images/gt_pairwise/attractive-low-4.png,0,44,0,modifae
/static/images/modifae_pairwise/attractive/136180_-0.75.png,/static/images/modifae_pairwise/attractive/136180_0.0.png,1,5,0,modifae
/static/images/gt_pairwise/attractive-mid-6.png,/static/images/gt_pairwise/attractive-low-6.png,0,58,0,modifae
/static/images/gt_pairwise/attractive-mid-7.png,/static/images/gt_pairwise/attractive-low-7.png,0,25,0,modifae
/static/images/modifae_pairwise/attractive/136241_-0.75.png,/static/images/modifae_pairwise/attractive/136241_0.0.png,1,35,0,modifae
/static/images/modifae_pairwise/attractive/136269_-0.75.png,/static/images/modifae_pairwise/attractive/136269_0.0.png,1,66,0,modifae
