im1,im2,low_first,pair_ind,repeat,task_type
/static/images/modifae_pairwise/intelligent_new/136181_0.0.png,/static/images/modifae_pairwise/intelligent_new/136181_1.png,1,27,0,modifae
/static/images/modifae_pairwise/intelligent_new/136252_0.0.png,/static/images/modifae_pairwise/intelligent_new/136252_1.png,1,46,0,modifae
/static/images/modifae_pairwise/intelligent_new/136247_1.png,/static/images/modifae_pairwise/intelligent_new/136247_0.0.png,0,38,0,modifae
/static/images/modifae_pairwise/intelligent_new/136269_1.png,/static/images/modifae_pairwise/intelligent_new/136269_0.0.png,0,67,0,modifae
/static/images/gt_pairwise/intelligent-high-9.png,/static/images/gt_pairwise/intelligent-mid-9.png,0,89,0,gt
/static/images/modifae_pairwise/intelligent_new/136195_1.png,/static/images/modifae_pairwise/intelligent_new/136195_0.0.png,0,54,0,modifae
/static/images/gt_pairwise/intelligent-high-5.png,/static/images/gt_pairwise/intelligent-mid-5.png,0,85,0,gt
/static/images/modifae_pairwise/intelligent_new/136188_0.0.png,/static/images/modifae_pairwise/intelligent_new/136188_1.png,1,11,1,modifae
/static/images/modifae_pairwise/intelligent_new/136245_0.0.png,/static/images/modifae_pairwise/intelligent_new/136245_1.png,1,40,0,modifae
/static/images/modifae_pairwise/intelligent_new/136254_1.png,/static/images/modifae_pairwise/intelligent_new/136254_0.0.png,0,48,0,modifae
/static/images/modifae_pairwise/intelligent_new/136266_1.png,/static/images/modifae_pairwise/intelligent_new/136266_0.0.png,0,59,0,modifae
/static/images/modifae_pairwise/intelligent_new/136185_1.png,/static/images/modifae_pairwise/intelligent_new/136185_0.0.png,0,23,0,modifae
/static/images/modifae_pairwise/intelligent_new/136243_0.0.png,/static/images/modifae_pairwise/intelligent_new/136243_1.png,1,34,0,modifae
/static/images/modifae_pairwise/intelligent_new/136206_0.0.png,/static/images/modifae_pairwise/intelligent_new/136206_1.png,1,70,1,modifae
/static/images/modifae_pairwise/intelligent_new/136217_1.png,/static/images/modifae_pairwise/intelligent_new/136217_0.0.png,0,53,0,modifae
/static/images/modifae_pairwise/intelligent_new/136201_0.0.png,/static/images/modifae_pairwise/intelligent_new/136201_1.png,1,77,0,modifae
/static/images/modifae_pairwise/intelligent_new/136237_0.0.png,/static/images/modifae_pairwise/intelligent_new/136237_1.png,1,15,0,modifae
/static/images/modifae_pairwise/intelligent_new/136225_1.png,/static/images/modifae_pairwise/intelligent_new/136225_0.0.png,0,28,1,modifae
/static/images/modifae_pairwise/intelligent_new/136259_1.png,/static/images/modifae_pairwise/intelligent_new/136259_0.0.png,0,41,0,modifae
/static/images/modifae_pairwise/intelligent_new/136253_1.png,/static/images/modifae_pairwise/intelligent_new/136253_0.0.png,0,45,0,modifae
/static/images/gt_pairwise/intelligent-high-1.png,/static/images/gt_pairwise/intelligent-mid-1.png,0,81,0,gt
/static/images/modifae_pairwise/intelligent_new/136186_1.png,/static/images/modifae_pairwise/intelligent_new/136186_0.0.png,0,26,0,modifae
/static/images/gt_pairwise/intelligent-high-8.png,/static/images/gt_pairwise/intelligent-mid-8.png,0,88,0,gt
/static/images/modifae_pairwise/intelligent_new/136251_0.0.png,/static/images/modifae_pairwise/intelligent_new/136251_1.png,1,43,0,modifae
/static/images/modifae_pairwise/intelligent_new/136192_0.0.png,/static/images/modifae_pairwise/intelligent_new/136192_1.png,1,55,0,modifae
/static/images/modifae_pairwise/intelligent_new/136184_1.png,/static/images/modifae_pairwise/intelligent_new/136184_0.0.png,0,24,0,modifae
/static/images/modifae_pairwise/intelligent_new/136224_0.0.png,/static/images/modifae_pairwise/intelligent_new/136224_1.png,1,4,0,modifae
/static/images/modifae_pairwise/intelligent_new/136265_0.0.png,/static/images/modifae_pairwise/intelligent_new/136265_1.png,1,58,0,modifae
/static/images/modifae_pairwise/intelligent_new/136257_0.0.png,/static/images/modifae_pairwise/intelligent_new/136257_1.png,1,49,0,modifae
/static/images/modifae_pairwise/intelligent_new/136231_0.0.png,/static/images/modifae_pairwise/intelligent_new/136231_1.png,1,21,0,modifae
/static/images/modifae_pairwise/intelligent_new/136243_1.png,/static/images/modifae_pairwise/intelligent_new/136243_0.0.png,0,34,1,modifae
/static/images/modifae_pairwise/intelligent_new/136223_1.png,/static/images/modifae_pairwise/intelligent_new/136223_0.0.png,0,3,0,modifae
/static/images/modifae_pairwise/intelligent_new/136202_0.0.png,/static/images/modifae_pairwise/intelligent_new/136202_1.png,1,74,0,modifae
/static/images/modifae_pairwise/intelligent_new/136182_0.0.png,/static/images/modifae_pairwise/intelligent_new/136182_1.png,1,30,0,modifae
/static/images/modifae_pairwise/intelligent_new/136268_1.png,/static/images/modifae_pairwise/intelligent_new/136268_0.0.png,0,66,0,modifae
/static/images/modifae_pairwise/intelligent_new/136206_1.png,/static/images/modifae_pairwise/intelligent_new/136206_0.0.png,0,70,0,modifae
/static/images/modifae_pairwise/intelligent_new/136258_0.0.png,/static/images/modifae_pairwise/intelligent_new/136258_1.png,1,42,0,modifae
/static/images/modifae_pairwise/intelligent_new/136255_1.png,/static/images/modifae_pairwise/intelligent_new/136255_0.0.png,0,47,0,modifae
/static/images/modifae_pairwise/intelligent_new/136205_0.0.png,/static/images/modifae_pairwise/intelligent_new/136205_1.png,1,73,1,modifae
/static/images/modifae_pairwise/intelligent_new/136228_1.png,/static/images/modifae_pairwise/intelligent_new/136228_0.0.png,0,8,0,modifae
/static/images/modifae_pairwise/intelligent_new/136267_0.0.png,/static/images/modifae_pairwise/intelligent_new/136267_1.png,1,60,0,modifae
/static/images/modifae_pairwise/intelligent_new/136220_0.0.png,/static/images/modifae_pairwise/intelligent_new/136220_1.png,1,0,0,modifae
/static/images/gt_pairwise/intelligent-mid-0.png,/static/images/gt_pairwise/intelligent-high-0.png,1,80,0,gt
/static/images/modifae_pairwise/intelligent_new/136264_0.0.png,/static/images/modifae_pairwise/intelligent_new/136264_1.png,1,57,0,modifae
/static/images/modifae_pairwise/intelligent_new/136230_0.0.png,/static/images/modifae_pairwise/intelligent_new/136230_1.png,1,22,0,modifae
/static/images/modifae_pairwise/intelligent_new/136260_1.png,/static/images/modifae_pairwise/intelligent_new/136260_0.0.png,0,61,0,modifae
/static/images/modifae_pairwise/intelligent_new/136262_1.png,/static/images/modifae_pairwise/intelligent_new/136262_0.0.png,0,63,0,modifae
/static/images/modifae_pairwise/intelligent_new/136227_0.0.png,/static/images/modifae_pairwise/intelligent_new/136227_1.png,1,7,0,modifae
/static/images/gt_pairwise/intelligent-mid-6.png,/static/images/gt_pairwise/intelligent-high-6.png,1,86,0,gt
/static/images/modifae_pairwise/intelligent_new/136239_1.png,/static/images/modifae_pairwise/intelligent_new/136239_0.0.png,0,13,0,modifae
/static/images/modifae_pairwise/intelligent_new/136271_1.png,/static/images/modifae_pairwise/intelligent_new/136271_0.0.png,0,68,0,modifae
/static/images/modifae_pairwise/intelligent_new/136195_0.0.png,/static/images/modifae_pairwise/intelligent_new/136195_1.png,1,54,1,modifae
/static/images/modifae_pairwise/intelligent_new/136238_0.0.png,/static/images/modifae_pairwise/intelligent_new/136238_1.png,1,14,0,modifae
/static/images/modifae_pairwise/intelligent_new/136226_1.png,/static/images/modifae_pairwise/intelligent_new/136226_0.0.png,0,29,0,modifae
/static/images/modifae_pairwise/intelligent_new/136225_1.png,/static/images/modifae_pairwise/intelligent_new/136225_0.0.png,0,28,0,modifae
/static/images/modifae_pairwise/intelligent_new/136188_0.0.png,/static/images/modifae_pairwise/intelligent_new/136188_1.png,1,11,0,modifae
