im1_name,im2_name,low_first,pair_ind,repeat,task_type
/static/images/modifae_pairwise/aggressive/136220_0.75.png,/static/images/modifae_pairwise/aggressive/136220_0.0.png,0,39,0,modifae
/static/images/modifae_pairwise/aggressive/136243_0.0.png,/static/images/modifae_pairwise/aggressive/136243_0.75.png,1,33,0,modifae
/static/images/modifae_pairwise/aggressive/136187_0.75.png,/static/images/modifae_pairwise/aggressive/136187_0.0.png,0,0,0,modifae
/static/images/modifae_pairwise/aggressive/136186_0.75.png,/static/images/modifae_pairwise/aggressive/136186_0.0.png,0,13,0,modifae
/static/images/modifae_pairwise/aggressive/136250_0.0.png,/static/images/modifae_pairwise/aggressive/136250_0.75.png,1,43,0,modifae
/static/images/modifae_pairwise/aggressive/136180_0.75.png,/static/images/modifae_pairwise/aggressive/136180_0.0.png,0,40,0,modifae
/static/images/modifae_pairwise/aggressive/136183_0.75.png,/static/images/modifae_pairwise/aggressive/136183_0.0.png,0,68,0,modifae
/static/images/modifae_pairwise/aggressive/136255_0.0.png,/static/images/modifae_pairwise/aggressive/136255_0.75.png,1,46,0,modifae
/static/images/modifae_pairwise/aggressive/136222_0.0.png,/static/images/modifae_pairwise/aggressive/136222_0.75.png,1,24,0,modifae
/static/images/modifae_pairwise/aggressive/136229_0.75.png,/static/images/modifae_pairwise/aggressive/136229_0.0.png,0,20,0,modifae
/static/images/modifae_pairwise/aggressive/136187_0.0.png,/static/images/modifae_pairwise/aggressive/136187_0.75.png,1,2,0,modifae
/static/images/modifae_pairwise/aggressive/136188_0.75.png,/static/images/modifae_pairwise/aggressive/136188_0.0.png,0,60,0,modifae
/static/images/modifae_pairwise/aggressive/136239_0.75.png,/static/images/modifae_pairwise/aggressive/136239_0.0.png,0,17,0,modifae
/static/images/modifae_pairwise/aggressive/136238_0.75.png,/static/images/modifae_pairwise/aggressive/136238_0.0.png,0,47,0,modifae
/static/images/modifae_pairwise/aggressive/136237_0.75.png,/static/images/modifae_pairwise/aggressive/136237_0.0.png,0,67,0,modifae
/static/images/modifae_pairwise/aggressive/136236_0.75.png,/static/images/modifae_pairwise/aggressive/136236_0.0.png,0,89,0,gt
/static/images/modifae_pairwise/aggressive/136215_0.0.png,/static/images/modifae_pairwise/aggressive/136215_0.75.png,1,50,0,modifae
/static/images/modifae_pairwise/aggressive/136269_0.0.png,/static/images/modifae_pairwise/aggressive/136269_0.75.png,1,66,0,modifae
/static/images/modifae_pairwise/aggressive/136258_0.0.png,/static/images/modifae_pairwise/aggressive/136258_0.75.png,1,41,0,modifae
/static/images/modifae_pairwise/aggressive/136232_0.75.png,/static/images/modifae_pairwise/aggressive/136232_0.0.png,0,57,0,modifae
/static/images/modifae_pairwise/aggressive/136231_0.75.png,/static/images/modifae_pairwise/aggressive/136231_0.0.png,0,75,0,modifae
/static/images/modifae_pairwise/aggressive/136227_0.0.png,/static/images/modifae_pairwise/aggressive/136227_0.75.png,1,7,1,modifae
/static/images/modifae_pairwise/aggressive/136183_0.0.png,/static/images/modifae_pairwise/aggressive/136183_0.75.png,1,6,0,modifae
/static/images/modifae_pairwise/aggressive/136184_0.75.png,/static/images/modifae_pairwise/aggressive/136184_0.0.png,0,71,0,modifae
/static/images/gt_pairwise/aggressive-mid-7.png,/static/images/gt_pairwise/aggressive-high-7.png,1,87,0,gt
/static/images/modifae_pairwise/aggressive/136225_0.0.png,/static/images/modifae_pairwise/aggressive/136225_0.75.png,1,27,0,modifae
/static/images/modifae_pairwise/aggressive/136249_0.0.png,/static/images/modifae_pairwise/aggressive/136249_0.75.png,1,31,0,modifae
/static/images/modifae_pairwise/aggressive/136244_0.0.png,/static/images/modifae_pairwise/aggressive/136244_0.75.png,1,38,0,modifae
/static/images/gt_pairwise/aggressive-mid-4.png,/static/images/gt_pairwise/aggressive-high-4.png,1,84,0,gt
/static/images/modifae_pairwise/aggressive/136182_0.75.png,/static/images/modifae_pairwise/aggressive/136182_0.0.png,0,9,0,modifae
/static/images/gt_pairwise/aggressive-mid-5.png,/static/images/gt_pairwise/aggressive-high-5.png,1,85,0,gt
/static/images/modifae_pairwise/aggressive/136249_0.75.png,/static/images/modifae_pairwise/aggressive/136249_0.0.png,0,70,0,modifae
/static/images/modifae_pairwise/aggressive/136242_0.75.png,/static/images/modifae_pairwise/aggressive/136242_0.0.png,0,10,0,modifae
/static/images/modifae_pairwise/aggressive/136243_0.75.png,/static/images/modifae_pairwise/aggressive/136243_0.0.png,0,65,0,modifae
/static/images/modifae_pairwise/aggressive/136240_0.75.png,/static/images/modifae_pairwise/aggressive/136240_0.0.png,0,52,0,modifae
/static/images/modifae_pairwise/aggressive/136221_0.0.png,/static/images/modifae_pairwise/aggressive/136221_0.75.png,1,1,0,modifae
/static/images/modifae_pairwise/aggressive/136188_0.0.png,/static/images/modifae_pairwise/aggressive/136188_0.75.png,1,11,1,modifae
/static/images/modifae_pairwise/aggressive/136186_0.0.png,/static/images/modifae_pairwise/aggressive/136186_0.75.png,1,3,0,modifae
/static/images/modifae_pairwise/aggressive/136244_0.75.png,/static/images/modifae_pairwise/aggressive/136244_0.0.png,0,62,0,modifae
/static/images/modifae_pairwise/aggressive/136267_0.0.png,/static/images/modifae_pairwise/aggressive/136267_0.75.png,1,59,0,modifae
/static/images/modifae_pairwise/aggressive/136259_0.75.png,/static/images/modifae_pairwise/aggressive/136259_0.0.png,0,19,1,modifae
/static/images/modifae_pairwise/aggressive/136258_0.75.png,/static/images/modifae_pairwise/aggressive/136258_0.0.png,0,25,0,modifae
/static/images/modifae_pairwise/aggressive/136247_0.0.png,/static/images/modifae_pairwise/aggressive/136247_0.75.png,1,37,0,modifae
/static/images/modifae_pairwise/aggressive/136208_0.0.png,/static/images/modifae_pairwise/aggressive/136208_0.75.png,1,78,0,modifae
/static/images/modifae_pairwise/aggressive/136253_0.75.png,/static/images/modifae_pairwise/aggressive/136253_0.0.png,0,26,0,modifae
/static/images/modifae_pairwise/aggressive/136252_0.75.png,/static/images/modifae_pairwise/aggressive/136252_0.0.png,0,30,0,modifae
/static/images/modifae_pairwise/aggressive/136200_0.0.png,/static/images/modifae_pairwise/aggressive/136200_0.75.png,1,76,0,modifae
/static/images/modifae_pairwise/aggressive/136202_0.0.png,/static/images/modifae_pairwise/aggressive/136202_0.75.png,1,74,0,modifae
/static/images/modifae_pairwise/aggressive/136185_0.0.png,/static/images/modifae_pairwise/aggressive/136185_0.75.png,1,22,0,modifae
/static/images/modifae_pairwise/aggressive/136256_0.75.png,/static/images/modifae_pairwise/aggressive/136256_0.0.png,0,62,1,modifae
/static/images/modifae_pairwise/aggressive/136215_0.75.png,/static/images/modifae_pairwise/aggressive/136215_0.0.png,0,42,1,modifae
/static/images/modifae_pairwise/aggressive/136214_0.75.png,/static/images/modifae_pairwise/aggressive/136214_0.0.png,0,83,0,gt
/static/images/modifae_pairwise/aggressive/136217_0.75.png,/static/images/modifae_pairwise/aggressive/136217_0.0.png,0,44,0,modifae
/static/images/modifae_pairwise/aggressive/136236_0.0.png,/static/images/modifae_pairwise/aggressive/136236_0.75.png,1,15,0,modifae
/static/images/modifae_pairwise/aggressive/136252_0.0.png,/static/images/modifae_pairwise/aggressive/136252_0.75.png,1,45,0,modifae
/static/images/modifae_pairwise/aggressive/136182_0.0.png,/static/images/modifae_pairwise/aggressive/136182_0.75.png,1,29,0,modifae
/static/images/modifae_pairwise/aggressive/136264_0.75.png,/static/images/modifae_pairwise/aggressive/136264_0.0.png,0,72,1,modifae
/static/images/modifae_pairwise/aggressive/136265_0.75.png,/static/images/modifae_pairwise/aggressive/136265_0.0.png,0,19,0,modifae
/static/images/modifae_pairwise/aggressive/136266_0.75.png,/static/images/modifae_pairwise/aggressive/136266_0.0.png,0,35,0,modifae
/static/images/modifae_pairwise/aggressive/136267_0.75.png,/static/images/modifae_pairwise/aggressive/136267_0.0.png,0,82,0,gt
/static/images/modifae_pairwise/aggressive/136260_0.75.png,/static/images/modifae_pairwise/aggressive/136260_0.0.png,0,7,0,modifae
/static/images/modifae_pairwise/aggressive/136261_0.75.png,/static/images/modifae_pairwise/aggressive/136261_0.0.png,0,51,0,modifae
