im1,im2,low_first,pair_ind,repeat,task_type
/static/images/modifae_pairwise/trustworthy_new/136212_1.png,/static/images/modifae_pairwise/trustworthy_new/136212_-1.png,0,65,1,modifae
/static/images/modifae_pairwise/trustworthy_new/136202_-1.png,/static/images/modifae_pairwise/trustworthy_new/136202_1.png,1,74,1,modifae
/static/images/modifae_pairwise/trustworthy_new/136242_1.png,/static/images/modifae_pairwise/trustworthy_new/136242_-1.png,0,33,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136264_-1.png,/static/images/modifae_pairwise/trustworthy_new/136264_1.png,1,57,1,modifae
/static/images/gt_pairwise/trustworthy-high-3.png,/static/images/gt_pairwise/trustworthy-low-3.png,0,83,0,gt
/static/images/modifae_pairwise/trustworthy_new/136235_-1.png,/static/images/modifae_pairwise/trustworthy_new/136235_1.png,1,17,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136241_-1.png,/static/images/modifae_pairwise/trustworthy_new/136241_1.png,1,36,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136184_-1.png,/static/images/modifae_pairwise/trustworthy_new/136184_1.png,1,24,1,modifae
/static/images/modifae_pairwise/trustworthy_new/136270_-1.png,/static/images/modifae_pairwise/trustworthy_new/136270_1.png,1,69,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136212_-1.png,/static/images/modifae_pairwise/trustworthy_new/136212_1.png,1,65,0,modifae
/static/images/gt_pairwise/trustworthy-low-2.png,/static/images/gt_pairwise/trustworthy-high-2.png,1,82,0,gt
/static/images/modifae_pairwise/trustworthy_new/136244_1.png,/static/images/modifae_pairwise/trustworthy_new/136244_-1.png,0,39,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136193_-1.png,/static/images/modifae_pairwise/trustworthy_new/136193_1.png,1,56,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136214_-1.png,/static/images/modifae_pairwise/trustworthy_new/136214_1.png,1,52,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136215_1.png,/static/images/modifae_pairwise/trustworthy_new/136215_-1.png,0,51,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136249_-1.png,/static/images/modifae_pairwise/trustworthy_new/136249_1.png,1,32,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136248_1.png,/static/images/modifae_pairwise/trustworthy_new/136248_-1.png,0,31,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136250_1.png,/static/images/modifae_pairwise/trustworthy_new/136250_-1.png,0,44,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136208_1.png,/static/images/modifae_pairwise/trustworthy_new/136208_-1.png,0,78,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136189_1.png,/static/images/modifae_pairwise/trustworthy_new/136189_-1.png,0,10,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136222_-1.png,/static/images/modifae_pairwise/trustworthy_new/136222_1.png,1,2,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136205_1.png,/static/images/modifae_pairwise/trustworthy_new/136205_-1.png,0,73,0,modifae
/static/images/gt_pairwise/trustworthy-low-7.png,/static/images/gt_pairwise/trustworthy-high-7.png,1,87,0,gt
/static/images/modifae_pairwise/trustworthy_new/136213_-1.png,/static/images/modifae_pairwise/trustworthy_new/136213_1.png,1,62,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136233_-1.png,/static/images/modifae_pairwise/trustworthy_new/136233_1.png,1,19,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136240_1.png,/static/images/modifae_pairwise/trustworthy_new/136240_-1.png,0,35,0,modifae
/static/images/gt_pairwise/trustworthy-high-4.png,/static/images/gt_pairwise/trustworthy-low-4.png,0,84,0,gt
/static/images/modifae_pairwise/trustworthy_new/136181_1.png,/static/images/modifae_pairwise/trustworthy_new/136181_-1.png,0,27,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136252_1.png,/static/images/modifae_pairwise/trustworthy_new/136252_-1.png,0,46,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136247_-1.png,/static/images/modifae_pairwise/trustworthy_new/136247_1.png,1,38,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136269_1.png,/static/images/modifae_pairwise/trustworthy_new/136269_-1.png,0,67,0,modifae
/static/images/gt_pairwise/trustworthy-low-9.png,/static/images/gt_pairwise/trustworthy-high-9.png,1,89,0,gt
/static/images/modifae_pairwise/trustworthy_new/136195_-1.png,/static/images/modifae_pairwise/trustworthy_new/136195_1.png,1,54,0,modifae
/static/images/gt_pairwise/trustworthy-high-5.png,/static/images/gt_pairwise/trustworthy-low-5.png,0,85,0,gt
/static/images/modifae_pairwise/trustworthy_new/136256_-1.png,/static/images/modifae_pairwise/trustworthy_new/136256_1.png,1,50,1,modifae
/static/images/modifae_pairwise/trustworthy_new/136245_-1.png,/static/images/modifae_pairwise/trustworthy_new/136245_1.png,1,40,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136254_-1.png,/static/images/modifae_pairwise/trustworthy_new/136254_1.png,1,48,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136266_1.png,/static/images/modifae_pairwise/trustworthy_new/136266_-1.png,0,59,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136185_1.png,/static/images/modifae_pairwise/trustworthy_new/136185_-1.png,0,23,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136243_-1.png,/static/images/modifae_pairwise/trustworthy_new/136243_1.png,1,34,0,modifae
/static/images/modifae_pairwise/trustworthy_new/136220_-1.png,/static/images/modifae_pairwise/trustworthy_new/136220_1.png,1,0,1,modifae
