im1_name,im2_name,low_first,pair_ind,repeat,task_type
/static/images/modifae_pairwise/intelligent/136228_-0.75.png,/static/images/modifae_pairwise/intelligent/136228_0.75.png,1,8,0,modifae
/static/images/modifae_pairwise/intelligent/136184_0.75.png,/static/images/modifae_pairwise/intelligent/136184_-0.75.png,0,1,0,modifae
/static/images/modifae_pairwise/intelligent/136241_-0.75.png,/static/images/modifae_pairwise/intelligent/136241_0.75.png,1,36,0,modifae
/static/images/modifae_pairwise/intelligent/136186_0.75.png,/static/images/modifae_pairwise/intelligent/136186_-0.75.png,0,63,0,modifae
/static/images/modifae_pairwise/intelligent/136181_0.75.png,/static/images/modifae_pairwise/intelligent/136181_-0.75.png,0,13,0,modifae
/static/images/gt_pairwise/intelligent-low-1.png,/static/images/gt_pairwise/intelligent-high-1.png,1,81,0,gt
/static/images/gt_pairwise/intelligent-low-8.png,/static/images/gt_pairwise/intelligent-high-8.png,1,88,0,gt
/static/images/modifae_pairwise/intelligent/136263_-0.75.png,/static/images/modifae_pairwise/intelligent/136263_0.75.png,1,64,0,modifae
/static/images/modifae_pairwise/intelligent/136228_0.75.png,/static/images/modifae_pairwise/intelligent/136228_-0.75.png,0,68,0,modifae
/static/images/modifae_pairwise/intelligent/136229_0.75.png,/static/images/modifae_pairwise/intelligent/136229_-0.75.png,0,43,0,modifae
/static/images/modifae_pairwise/intelligent/136205_-0.75.png,/static/images/modifae_pairwise/intelligent/136205_0.75.png,1,73,0,modifae
/static/images/modifae_pairwise/intelligent/136224_-0.75.png,/static/images/modifae_pairwise/intelligent/136224_0.75.png,1,27,0,modifae
/static/images/modifae_pairwise/intelligent/136261_0.75.png,/static/images/modifae_pairwise/intelligent/136261_-0.75.png,0,4,0,modifae
/static/images/modifae_pairwise/intelligent/136255_-0.75.png,/static/images/modifae_pairwise/intelligent/136255_0.75.png,1,47,1,modifae
/static/images/modifae_pairwise/intelligent/136236_-0.75.png,/static/images/modifae_pairwise/intelligent/136236_0.75.png,1,16,0,modifae
/static/images/modifae_pairwise/intelligent/136237_0.75.png,/static/images/modifae_pairwise/intelligent/136237_-0.75.png,0,82,0,gt
/static/images/modifae_pairwise/intelligent/136236_0.75.png,/static/images/modifae_pairwise/intelligent/136236_-0.75.png,0,39,0,modifae
/static/images/modifae_pairwise/intelligent/136221_-0.75.png,/static/images/modifae_pairwise/intelligent/136221_0.75.png,1,24,0,modifae
/static/images/modifae_pairwise/intelligent/136207_-0.75.png,/static/images/modifae_pairwise/intelligent/136207_0.75.png,1,71,0,modifae
/static/images/modifae_pairwise/intelligent/136233_0.75.png,/static/images/modifae_pairwise/intelligent/136233_-0.75.png,0,6,0,modifae
/static/images/modifae_pairwise/intelligent/136232_0.75.png,/static/images/modifae_pairwise/intelligent/136232_-0.75.png,0,3,0,modifae
/static/images/modifae_pairwise/intelligent/136266_-0.75.png,/static/images/modifae_pairwise/intelligent/136266_0.75.png,1,59,0,modifae
/static/images/modifae_pairwise/intelligent/136230_0.75.png,/static/images/modifae_pairwise/intelligent/136230_-0.75.png,0,66,0,modifae
/static/images/modifae_pairwise/intelligent/136220_0.75.png,/static/images/modifae_pairwise/intelligent/136220_-0.75.png,0,9,0,modifae
/static/images/modifae_pairwise/intelligent/136197_-0.75.png,/static/images/modifae_pairwise/intelligent/136197_0.75.png,1,52,0,modifae
/static/images/modifae_pairwise/intelligent/136222_0.75.png,/static/images/modifae_pairwise/intelligent/136222_-0.75.png,0,45,0,modifae
/static/images/modifae_pairwise/intelligent/136208_-0.75.png,/static/images/modifae_pairwise/intelligent/136208_0.75.png,1,78,0,modifae
/static/images/modifae_pairwise/intelligent/136260_-0.75.png,/static/images/modifae_pairwise/intelligent/136260_0.75.png,1,61,1,modifae
