,subId,rt,imgName,rating,trial_index,debug_mode
0,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,8353,136248_0.446969696969697.png,6,2,live
1,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,5196,136242_0.3560606060606062.png,8,3,live
2,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2925,136206_-0.18939393939393934.png,6,4,live
3,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3333,136187_-0.4772727272727273.png,7,5,live
4,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,29253,136190_-0.4318181818181818.png,5,6,live
5,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3996,136194_-0.3712121212121212.png,4,7,live
6,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4801,136177_-0.6287878787878788.png,3,8,live
7,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3628,136263_0.6742424242424243.png,6,9,live
8,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3646,136185_-0.5075757575757576.png,8,10,live
9,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3942,136216_-0.037878787878787845.png,6,11,live
10,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4066,136200_-0.2803030303030303.png,8,13,live
11,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3086,136218_-0.007575757575757569.png,7,14,live
12,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4350,136266_0.7196969696969697.png,7,15,live
13,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,9027,136261_0.643939393939394.png,5,16,live
14,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,8556,136259_0.6136363636363638.png,9,17,live
15,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4013,136215_-0.05303030303030298.png,6,18,live
16,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4214,136201_-0.26515151515151514.png,3,19,live
17,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,20799,136181_-0.5681818181818181.png,3,20,live
18,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4014,136220_0.022727272727272707.png,8,21,live
19,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2877,136246_0.41666666666666674.png,9,22,live
20,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3359,136238_0.2954545454545454.png,7,24,live
21,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2750,136203_-0.23484848484848486.png,8,25,live
22,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,27837,136204_-0.21969696969696972.png,6,26,live
23,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4156,136175_-0.6590909090909091.png,7,27,live
24,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4077,136244_0.38636363636363646.png,6,28,live
25,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,42517,136189_-0.44696969696969696.png,9,29,live
26,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3341,136262_0.6590909090909092.png,9,30,live
27,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4629,136197_-0.32575757575757575.png,9,31,live
28,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3309,136241_0.34090909090909083.png,9,32,live
29,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,4085,136193_-0.38636363636363635.png,9,33,live
30,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,6059,136230_0.1742424242424243.png,9,35,live
31,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2838,136205_-0.20454545454545459.png,8,36,live
32,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,2375,136252_0.5075757575757576.png,9,37,live
33,A2JBCLJVJ2VXVZ:3N1FSUEFL77FE3G0JSM8O611TSA4D9,3012,136211_-0.11363636363636365.png,8,38,live
