,subId,rt,imgName,rating,trial_index,debug_mode
0,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,4651,198714_0.6287878787878789.png,1,2,live
1,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,3582,041829_-0.4015151515151515.png,1,3,live
2,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,3659,164278_-0.3409090909090909.png,4,4,live
3,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,2999,042205_-0.5075757575757576.png,4,5,live
4,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,3479,114340_-0.12878787878787878.png,1,6,live
5,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,4087,023784_0.6893939393939394.png,1,7,live
6,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,4102,179630_0.037878787878787845.png,2,8,live
7,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,3131,044525_0.4015151515151516.png,3,9,live
8,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,4174,043491_-0.4318181818181818.png,3,10,live
9,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,2296,164278_-0.3409090909090909.png,4,11,live
10,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,4706,098030_0.41666666666666674.png,2,13,live
11,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,2970,154764_-0.09848484848484851.png,1,14,live
12,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,3361,125135_-0.7348484848484849.png,4,15,live
13,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,3158,061283_-0.49242424242424243.png,3,16,live
14,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,4483,164329_0.5075757575757576.png,2,17,live
15,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,3136,006580_-0.1742424242424242.png,1,18,live
16,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,3163,038177_-0.7196969696969697.png,2,19,live
17,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,2899,010202_-0.32575757575757575.png,1,20,live
18,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,3138,036571_0.09848484848484851.png,1,21,live
19,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,3592,110088_-0.11363636363636365.png,4,22,live
20,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,2422,038177_-0.7196969696969697.png,2,24,live
21,A1P0M5D9IGZIDK:3RANCT1ZVHOLG4CVK2MK6KBVQFXUBH,3878,167679_0.3712121212121213.png,5,25,live
